2025-03-21 01:35:31,925 INFO    MainThread:64790 [wandb_setup.py:_flush():76] Configure stats pid to 64790
2025-03-21 01:35:31,926 INFO    MainThread:64790 [wandb_setup.py:_flush():76] Loading settings from /home/navin/.config/wandb/settings
2025-03-21 01:35:31,926 INFO    MainThread:64790 [wandb_setup.py:_flush():76] Loading settings from /home/navin/projects/M2P/ClutterGrasp/ClutterNav/wandb/settings
2025-03-21 01:35:31,926 INFO    MainThread:64790 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2025-03-21 01:35:31,926 INFO    MainThread:64790 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train_her_goal.py', 'program': 'train_her_goal.py'}
2025-03-21 01:35:31,926 INFO    MainThread:64790 [wandb_init.py:_log_setup():461] Logging user logs to /home/navin/projects/M2P/ClutterGrasp/ClutterNav/wandb/run-20250321_013531-myu2xv61/logs/debug.log
2025-03-21 01:35:31,926 INFO    MainThread:64790 [wandb_init.py:_log_setup():462] Logging internal logs to /home/navin/projects/M2P/ClutterGrasp/ClutterNav/wandb/run-20250321_013531-myu2xv61/logs/debug-internal.log
2025-03-21 01:35:31,926 INFO    MainThread:64790 [wandb_init.py:init():495] calling init triggers
2025-03-21 01:35:31,926 INFO    MainThread:64790 [wandb_init.py:init():498] wandb.init called with sweep_config: {}
config: {'env_name': 'ClutteredScene', 'policy': 'Gaussian', 'eval': True, 'gamma': 0.99, 'tau': 0.005, 'lr': 0.0003, 'alpha': 0.2, 'automatic_entropy_tuning': False, 'seed': 32, 'batch_size': 20, 'num_steps': 1000001, 'hidden_size': 1024, 'updates_per_step': 1, 'start_steps': 300, 'target_update_interval': 1, 'replay_size': 1500, 'her_ratio': 0.8, 'cuda': False}
2025-03-21 01:35:31,926 INFO    MainThread:64790 [wandb_init.py:init():548] starting backend
2025-03-21 01:35:31,926 INFO    MainThread:64790 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-03-21 01:35:31,939 INFO    MainThread:64790 [backend.py:ensure_launched():217] starting backend process...
2025-03-21 01:35:31,950 INFO    MainThread:64790 [backend.py:ensure_launched():222] started backend process with pid: 64895
2025-03-21 01:35:31,951 INFO    MainThread:64790 [wandb_init.py:init():558] backend started and connected
2025-03-21 01:35:31,957 INFO    MainThread:64790 [wandb_init.py:init():634] updated telemetry
2025-03-21 01:35:31,984 INFO    MainThread:64790 [wandb_init.py:init():665] communicating run to backend with 30 second timeout
2025-03-21 01:35:33,286 INFO    MainThread:64790 [wandb_run.py:_on_init():1919] communicating current version
2025-03-21 01:35:33,604 INFO    MainThread:64790 [wandb_run.py:_on_init():1923] got version response upgrade_message: "wandb version 0.19.8 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2025-03-21 01:35:33,604 INFO    MainThread:64790 [wandb_init.py:init():700] starting run threads in backend
2025-03-21 01:35:33,753 INFO    MainThread:64790 [wandb_run.py:_console_start():1893] atexit reg
2025-03-21 01:35:33,753 INFO    MainThread:64790 [wandb_run.py:_redirect():1766] redirect: SettingsConsole.REDIRECT
2025-03-21 01:35:33,754 INFO    MainThread:64790 [wandb_run.py:_redirect():1771] Redirecting console.
2025-03-21 01:35:33,755 INFO    MainThread:64790 [wandb_run.py:_redirect():1827] Redirects installed.
2025-03-21 01:35:33,755 INFO    MainThread:64790 [wandb_init.py:init():732] run started, returning control to user process
2025-03-21 01:36:03,186 INFO    MainThread:64790 [wandb_run.py:_atexit_cleanup():1862] got exitcode: 255
2025-03-21 01:36:03,186 INFO    MainThread:64790 [wandb_run.py:_restore():1834] restore
